InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Total,Date,Time,Payment
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,548.9715,1/5/2019,13:08,Ewallet
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,80.22,3/8/2019,10:29,Cash
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,340.5255,3/3/2019,13:23,Credit card
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,489.048,1/27/2019,20:33,Ewallet
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,634.3785,2/8/2019,10:37,Ewallet
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,627.6165,3/25/2019,18:30,Ewallet
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,433.692,2/25/2019,14:36,Ewallet
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,772.38,2/24/2019,11:38,Ewallet
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,76.146,1/10/2019,17:15,Credit card
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,172.746,2/20/2019,13:27,Credit card
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,60.816,2/6/2019,18:07,Ewallet
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,107.142,3/9/2019,17:03,Cash
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,246.4875,2/12/2019,10:25,Ewallet
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,453.495,2/7/2019,16:48,Ewallet
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,749.49,3/29/2019,19:21,Cash
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,590.436,1/15/2019,16:19,Cash
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,506.6355,3/11/2019,11:03,Credit card
